,neighbor_num,isite,atom,x,y,z,front_index
0,0,7,Si1,0.0,0.0,0.0,
1,1,9,O1,-0.7616251594869307,-1.3123508806576667,-0.535396926742126,0.0
2,1,23,O1,0.0,0.0,1.608159965018517,0.0
3,1,20,O1,-0.753415743594153,1.318611444387838,-0.5312046931063866,0.0
4,1,18,O1,1.5186742323375704,-1.0306189841126712e-16,-0.5312046931063868,0.0
5,2,6,Si1,-1.280477765833528,-2.206382106371354,-1.7684775109001865,1.0
6,2,1,Si1,-4.819838102606999e-16,-2.753913538013409e-16,3.2163199300370335,2.0
7,2,4,Si1,-1.7740049650467018,2.1768581744691833,-1.4314046938306244,3.0
8,2,4,Si1,2.7701749868167447,-0.46036471430649284,-1.4314046938306244,4.0
9,3,21,O1,-2.3010669872860774,-1.3481353762900083,-2.6686775116244235,5.0
10,3,14,O1,-2.03638321538411,-3.508877395628744,-1.2043042698736368,5.0
11,3,19,O1,-0.02897701135435418,-2.6667468206778464,-2.6686775116244235,5.0
12,3,11,O1,-1.5186742323375704,1.2761088444728693e-15,3.747524623143421,6.0
13,3,16,O1,0.7616251594869304,1.3123508806576663,3.7517168567791597,6.0
14,3,13,O1,0.7534157435941533,-1.318611444387836,3.7475246231434207,6.0
15,3,22,O1,-1.0180995154961203,3.4793534637265715,-1.9955779348571747,7.0
16,3,18,O1,-3.025505719525876,2.6372228887756757,-0.531204693106386,7.0
17,3,8,O1,-2.2928575713933004,1.2828269487554955,-2.6644852779886845,7.0
18,3,22,O1,3.5260804363673266,0.8421305749508967,-1.9955779348571743,8.0
19,3,20,O1,3.7907642082692945,-1.318611444387838,-0.531204693106387,8.0
20,3,8,O1,2.251322380470147,-1.3543959400201804,-2.6644852779886845,8.0
21,4,5,Si1,-3.0544827308802307,-0.02952393190217068,-3.199882204730811,9.0
22,4,0,Si1,-2.7922886649346923,-4.811372684886134,-0.6401310288470867,10.0
23,4,5,Si1,1.4896972209832162,-2.6667468206778473,-3.1998822047308115,11.0
24,4,2,Si1,-2.7701749868167447,0.4603647143064928,4.647724623867658,12.0
25,4,0,Si1,1.2804777658335282,2.206382106371354,4.9847974409372195,13.0
26,4,2,Si1,1.774004965046701,-2.176858174469183,4.647724623867658,14.0
27,4,2,Si1,-0.26219406594553973,4.7818487529839615,-2.5597511758837244,15.0
28,4,7,Si1,-4.5441799518634465,2.6372228887756757,4.836094927848575e-16,16.0
29,4,5,Si1,-3.0544827308802307,-0.02952393190217068,-3.199882204730811,17.0
30,4,2,Si1,4.2819858859179085,2.1446258642082854,-2.5597511758837244,18.0
31,4,7,Si1,4.5441799518634465,-2.6372228887756757,-4.836094927848575e-16,19.0
32,4,5,Si1,1.4896972209832162,-2.6667468206778473,-3.1998822047308115,20.0
